transaction_id,is_fraud
9e81cadd-3f76-4bba-a03a-6a1ad8e69472,True
204532ae-b268-4d2e-8b1f-0b7230801662,True
880767b5-a94c-4fbc-b85c-d77e25450e60,True
780aa6e8-0671-4fb2-b0e4-dd7655b4a5af,True
737f279a-bb52-4f32-96d7-58035ac7f249,True
9abed049-56f4-4905-81a3-9047d90d874b,True
2090a398-f48d-4737-82ca-d2b3db958524,True
2db5d38c-dc20-4c4e-b4de-d2864b0ebb11,True
4767ae16-b9a8-486c-a611-5cc48722520d,True
2a79979c-1117-484d-9926-41b2bfccdda7,True
677256ad-1f0e-4ce7-a2ea-df6375f6de05,True
43ecd376-777b-429d-a3b6-07067d8e3263,True
c06c2359-6f79-4d90-9f06-87924d2a5b06,True
30f4e4fc-be30-4d1a-b016-a11b1a18c41d,True
18f0c259-5e2a-4cd5-a83b-72c8ab9d4cb1,True
c75d54d5-7d3b-42ef-832f-16b0ba9e6f29,True
915d0329-6570-43db-93c2-89d4e5a0600f,True
244ac1cf-ecbb-455c-949d-8cd29425f1ff,True
960a21e1-b10b-4263-a22f-609398a05666,True
605fffb8-e3ab-46fe-8a6f-a4164c6cd224,True
813902eb-f57b-4ddf-8b24-2f69b99c8a67,True
42bbf276-f449-40bd-b968-1d84af35b6db,True
f939bf2d-e9eb-464f-aff4-58daa4de47f2,True
9d047880-6c63-4ddb-99fe-fad8933c1616,True
05ec0411-8523-497d-9117-8735ce5f1bce,True
9fe84de2-6661-4573-8496-2d39d4790e69,True
b942c55b-d6b4-44de-81d3-c2d3da6c16ba,True
472b1348-864e-444f-9d27-b2501b45b430,True
c47deff5-301c-4742-805c-679c87b448ff,True
e6692478-a371-43e5-bd4c-54f25f305d37,True
944a43ab-8175-4c2a-aa69-7ca61e2cc7f8,True
1ffc32d4-beaa-4fe3-a548-6e0a8b041324,True
c68d5901-c88f-4ef1-af43-1b16c9a1fa8e,True
0564f3bc-36d4-453c-8774-da9bb762922a,True
42f84e0f-9a5e-4c19-8c8d-ea375862c10b,True
ee170579-c59c-45a9-9cd4-9f41e492a751,True
0e7e18d3-5f63-42af-beda-acf655131a69,True
35e4ac2c-1d39-44a0-9e96-5e82952771a7,True
27f2e042-c592-468a-92ad-8ed3c23eb2c9,True
d5a3426e-2172-4ef4-a45b-c9f9bef50838,True
74fab53f-0e44-4e40-be64-1a2533293d72,True
5d1bd4b1-9aee-423d-85fa-64776620146c,True
3d587170-a8d4-4895-b894-c54227b7b08a,True
ea895ba6-41d7-4bd7-a0d5-aeaccc2f468b,True
e9597d65-c46c-48f3-a2f5-ab71091b2edd,True
64596d6f-7a99-410e-b6fb-4bd929bedbbe,True
c97440af-efa2-4d99-9d24-d19b5188c818,True
4dab974f-cf3e-410d-a2cb-666729a7107d,True
73c7a7d1-5962-4e7d-b1d7-7cf2894658ea,True
16337a96-a4cb-4b40-a662-2e597989fbb2,True
